what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434941449196
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434941477760
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434941525713
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434941526567
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434941532733
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434941541134
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1434941581691
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434941582451
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434941601325
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434941606306
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434941640905
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1434941646375
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434941656228
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434941657361
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434941688255
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434941689123
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434941689408
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434941689605
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434941689784
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434941689975
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434941690163
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434941690355
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434941690599
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434941693940
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434941729469
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434941739718
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434941749999
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434941795010
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434941815410
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434941819150
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434941820979
